Interval,CumulativePlayerPointsInterval,Player,GameId,Date,Team,Opponent,Home,TeamRest,OpponentTeamRest,CumulativeTeamPointsInterval,CumulativeOpponentPointsInterval,ScoreMarginInterval,ScoreMarginxTimeRemainingInterval,ScoreMarginxTimeRemaining2Interval,RollingAvgPlayerPoints,RollingAverageOpposingTeamAllowedPoints,RollingAverageTeamPoints
0,0.0,A. Davis - davisan02,635,2019-02-09,NOP,NOP,0,1.0,1.0,0,0,0,0.0,0.0,25.996462211681816,101.93782984582937,113.42579988540581
1,4.0,A. Davis - davisan02,635,2019-02-09,NOP,NOP,0,1.0,1.0,28,20,8,288.0,10368.0,25.996462211681816,101.93782984582937,113.42579988540581
2,4.0,A. Davis - davisan02,635,2019-02-09,NOP,NOP,0,1.0,1.0,44,41,3,72.0,1728.0,25.996462211681816,101.93782984582937,113.42579988540581
3,7.0,A. Davis - davisan02,635,2019-02-09,NOP,NOP,0,1.0,1.0,62,72,-10,120.0,1440.0,25.996462211681816,101.93782984582937,113.42579988540581
4,14.0,A. Davis - davisan02,635,2019-02-09,NOP,NOP,0,1.0,1.0,90,99,-9,0.0,0.0,25.996462211681816,101.93782984582937,113.42579988540581
0,0.0,A. Davis - davisan02,677,2018-11-30,NOP,NOP,0,2.0,2.0,0,0,0,0.0,0.0,32.24934550966971,110.04527965563342,114.91496079416704
1,6.0,A. Davis - davisan02,677,2018-11-30,NOP,NOP,0,2.0,2.0,17,37,-20,720.0,25920.0,32.24934550966971,110.04527965563342,114.91496079416704
2,13.0,A. Davis - davisan02,677,2018-11-30,NOP,NOP,0,2.0,2.0,41,61,-20,480.0,11520.0,32.24934550966971,110.04527965563342,114.91496079416704
3,32.0,A. Davis - davisan02,677,2018-11-30,NOP,NOP,0,2.0,2.0,75,81,-6,72.0,864.0,32.24934550966971,110.04527965563342,114.91496079416704
4,41.0,A. Davis - davisan02,677,2018-11-30,NOP,NOP,0,2.0,2.0,101,106,-5,0.0,0.0,32.24934550966971,110.04527965563342,114.91496079416704
0,0.0,A. Davis - davisan02,723,2018-12-19,NOP,NOP,0,3.0,3.0,0,0,0,0.0,0.0,29.606261975075274,114.65873451507386,117.75295490340717
1,14.0,A. Davis - davisan02,723,2018-12-19,NOP,NOP,0,3.0,3.0,31,33,-2,72.0,2592.0,29.606261975075274,114.65873451507386,117.75295490340717
2,14.0,A. Davis - davisan02,723,2018-12-19,NOP,NOP,0,3.0,3.0,66,62,4,96.0,2304.0,29.606261975075274,114.65873451507386,117.75295490340717
3,16.0,A. Davis - davisan02,723,2018-12-19,NOP,NOP,0,3.0,3.0,90,87,3,36.0,432.0,29.606261975075274,114.65873451507386,117.75295490340717
4,27.0,A. Davis - davisan02,723,2018-12-19,NOP,NOP,0,3.0,3.0,115,119,-4,0.0,0.0,29.606261975075274,114.65873451507386,117.75295490340717
0,0.0,A. Davis - davisan02,765,2019-01-12,NOP,NOP,0,3.0,3.0,0,0,0,0.0,0.0,32.09813616155716,115.22084992345924,120.2255556026775
1,14.0,A. Davis - davisan02,765,2019-01-12,NOP,NOP,0,3.0,3.0,29,27,2,72.0,2592.0,32.09813616155716,115.22084992345924,120.2255556026775
2,21.0,A. Davis - davisan02,765,2019-01-12,NOP,NOP,0,3.0,3.0,52,54,-2,48.0,1152.0,32.09813616155716,115.22084992345924,120.2255556026775
3,26.0,A. Davis - davisan02,765,2019-01-12,NOP,NOP,0,3.0,3.0,89,87,2,24.0,288.0,32.09813616155716,115.22084992345924,120.2255556026775
4,30.0,A. Davis - davisan02,765,2019-01-12,NOP,NOP,0,3.0,3.0,106,110,-4,0.0,0.0,32.09813616155716,115.22084992345924,120.2255556026775
0,0.0,A. Davis - davisan02,766,2018-11-14,NOP,NOP,0,2.0,2.0,0,0,0,0.0,0.0,26.294262103153077,116.88149587178242,117.48215701823952
1,11.0,A. Davis - davisan02,766,2018-11-14,NOP,NOP,0,2.0,2.0,28,36,-8,288.0,10368.0,26.294262103153077,116.88149587178242,117.48215701823952
2,15.0,A. Davis - davisan02,766,2018-11-14,NOP,NOP,0,2.0,2.0,54,67,-13,312.0,7488.0,26.294262103153077,116.88149587178242,117.48215701823952
3,22.0,A. Davis - davisan02,766,2018-11-14,NOP,NOP,0,2.0,2.0,81,85,-4,48.0,576.0,26.294262103153077,116.88149587178242,117.48215701823952
4,29.0,A. Davis - davisan02,766,2018-11-14,NOP,NOP,0,2.0,2.0,100,107,-7,0.0,0.0,26.294262103153077,116.88149587178242,117.48215701823952
0,0.0,A. Davis - davisan02,784,2018-11-26,NOP,NOP,1,2.0,2.0,0,0,0,0.0,0.0,27.806518108092096,116.63971891350715,127.39115898319692
1,6.0,A. Davis - davisan02,784,2018-11-26,NOP,NOP,1,2.0,2.0,21,31,-10,360.0,12960.0,27.806518108092096,116.63971891350715,127.39115898319692
2,9.0,A. Davis - davisan02,784,2018-11-26,NOP,NOP,1,2.0,2.0,48,57,-9,216.0,5184.0,27.806518108092096,116.63971891350715,127.39115898319692
